"group","code","major","minor","broad","detailed","title","essential","notes"
"Detailed","53-6041","53-0000","53-6000","53-6040","53-6041","Traffic Technicians",1,NA
"Broad","53-6050","53-0000","53-6000","53-6050",NA,"Transportation Inspectors",1,NA
"Detailed","53-6051","53-0000","53-6000","53-6050","53-6051","Transportation Inspectors",1,NA
"Broad","53-6060","53-0000","53-6000","53-6060",NA,"Passenger Attendants",0,NA
"Detailed","53-6061","53-0000","53-6000","53-6060","53-6061","Passenger Attendants",0,NA
"Broad","53-6090","53-0000","53-6000","53-6090",NA,"Miscellaneous Transportation Workers",0,NA
"Detailed","53-6099","53-0000","53-6000","53-6090","53-6099","Transportation Workers, All Other",0,NA
"Broad","53-6090","53-0000","53-7000","53-6090",NA,"Material Moving Workers",0,NA
"Broad","53-7010","53-0000","53-7000","53-7010",NA,"Conveyor Operators and Tenders",1,NA
"Detailed","53-7011","53-0000","53-7000","53-7010","53-7011","Conveyor Operators and Tenders",1,NA
"Broad","53-7020","53-0000","53-7000","53-7020",NA,"Crane and Tower Operators",1,NA
"Detailed","53-7021","53-0000","53-7000","53-7020","53-7021","Crane and Tower Operators",1,NA
"Broad","53-7030","53-0000","53-7000","53-7030",NA,"Dredge Operators",0,NA
"Detailed","53-7031","53-0000","53-7000","53-7030","53-7031","Dredge Operators",0,NA
"Broad","53-7040","53-0000","53-7000","53-7040",NA,"Hoist and Winch Operators",0,NA
"Detailed","53-7041","53-0000","53-7000","53-7040","53-7041","Hoist and Winch Operators",0,NA
"Broad","53-7050","53-0000","53-7000","53-7050",NA,"Industrial Truck and Tractor Operators",1,NA
"Detailed","53-7051","53-0000","53-7000","53-7050","53-7051","Industrial Truck and Tractor Operators",1,NA
"Broad","53-7060","53-0000","53-7000","53-7060",NA,"Laborers and Material Movers",1,NA
"Detailed","53-7061","53-0000","53-7000","53-7060","53-7061","Cleaners of Vehicles and Equipment",1,NA
"Detailed","53-7062","53-0000","53-7000","53-7060","53-7062","Laborers and Freight, Stock, and Material Movers, Hand",1,NA
"Detailed","53-7063","53-0000","53-7000","53-7060","53-7063","Machine Feeders and Offbearers",1,NA
"Detailed","53-7064","53-0000","53-7000","53-7060","53-7064","Packers and Packagers, Hand",1,NA
"Detailed","53-7065","53-0000","53-7000","53-7060","53-7065","Stockers and Order Fillers",1,NA
"Broad","53-7070","53-0000","53-7000","53-7070",NA,"Pumping Station Operators",1,NA
"Detailed","53-7071","53-0000","53-7000","53-7070","53-7071","Gas Compressor and Gas Pumping Station Operators",1,NA
"Detailed","53-7072","53-0000","53-7000","53-7070","53-7072","Pump Operators, Except Wellhead Pumpers",1,NA
"Detailed","53-7073","53-0000","53-7000","53-7070","53-7073","Wellhead Pumpers",1,NA
"Broad","53-7080","53-0000","53-7000","53-7080",NA,"Refuse and Recyclable Material Collectors",1,NA
"Detailed","53-7081","53-0000","53-7000","53-7080","53-7081","Refuse and Recyclable Material Collectors",1,NA
"Broad","53-7120","53-0000","53-7000","53-7120",NA,"Tank Car, Truck, and Ship Loaders",0,NA
"Detailed","53-7121","53-0000","53-7000","53-7120","53-7121","Tank Car, Truck, and Ship Loaders",0,NA
"Broad","53-7190","53-0000","53-7000","53-7190",NA,"Miscellaneous Material Moving Workers",0,NA
"Detailed","53-7199","53-0000","53-7000","53-7190","53-7199","Material Moving Workers, All Other",0,NA
"Broad","53-7190","55-0000","53-7000","53-7190",NA,"Military Specific Occupations",0,NA
"Broad","53-7190","55-0000","55-1000","53-7190",NA,"Military Officer Special and Tactical Operations Leaders",0,NA
"Broad","55-1010","55-0000","55-1000","55-1010",NA,"Military Officer Special and Tactical Operations Leaders",0,NA
"Detailed","55-1011","55-0000","55-1000","55-1010","55-1011","Air Crew Officers",0,NA
"Detailed","55-1012","55-0000","55-1000","55-1010","55-1012","Aircraft Launch and Recovery Officers",0,NA
"Detailed","55-1013","55-0000","55-1000","55-1010","55-1013","Armored Assault Vehicle Officers",0,NA
"Detailed","55-1014","55-0000","55-1000","55-1010","55-1014","Artillery and Missile Officers",0,NA
"Detailed","55-1015","55-0000","55-1000","55-1010","55-1015","Command and Control Center Officers",0,NA
"Detailed","55-1016","55-0000","55-1000","55-1010","55-1016","Infantry Officers",0,NA
"Detailed","55-1017","55-0000","55-1000","55-1010","55-1017","Special Forces Officers",0,NA
"Detailed","55-1019","55-0000","55-1000","55-1010","55-1019","Military Officer Special and Tactical Operations Leaders, All Other",0,NA
"Broad","55-1010","55-0000","55-2000","55-1010",NA,"First-Line Enlisted Military Supervisors",0,NA
"Broad","55-2010","55-0000","55-2000","55-2010",NA,"First-Line Enlisted Military Supervisors",0,NA
"Detailed","55-2011","55-0000","55-2000","55-2010","55-2011","First-Line Supervisors of Air Crew Members",0,NA
"Detailed","55-2012","55-0000","55-2000","55-2010","55-2012","First-Line Supervisors of Weapons Specialists/Crew Members",0,NA
"Detailed","55-2013","55-0000","55-2000","55-2010","55-2013","First-Line Supervisors of All Other Tactical Operations Specialists",0,NA
"Broad","55-2010","55-0000","55-3000","55-2010",NA,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members",0,NA
"Broad","55-3010","55-0000","55-3000","55-3010",NA,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members",0,NA
"Detailed","55-3011","55-0000","55-3000","55-3010","55-3011","Air Crew Members",0,NA
"Detailed","55-3012","55-0000","55-3000","55-3010","55-3012","Aircraft Launch and Recovery Specialists",0,NA
"Detailed","55-3013","55-0000","55-3000","55-3010","55-3013","Armored Assault Vehicle Crew Members",0,NA
"Detailed","55-3014","55-0000","55-3000","55-3010","55-3014","Artillery and Missile Crew Members",0,NA
"Detailed","55-3015","55-0000","55-3000","55-3010","55-3015","Command and Control Center Specialists",0,NA
"Detailed","55-3016","55-0000","55-3000","55-3010","55-3016","Infantry",0,NA
"Detailed","55-3018","55-0000","55-3000","55-3010","55-3018","Special Forces",0,NA
"Detailed","55-3019","55-0000","55-3000","55-3010","55-3019","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",0,NA
